family	gene	coordinates
AAA	TTHERM_00446000	354928-361760
AAA	TTHERM_000148715	129093-130350
AAA	TTHERM_00586820	98455-102394
AAA	TTHERM_00850570	180042-182756
AAA	TTHERM_00005950	411166-425147
AAA	TTHERM_00850620	191911-208720
AAA	TTHERM_00011470	1056909-1064095
AAA	TTHERM_00339940	546533-551097
AAA	TTHERM_00344220	358200-362712
AAA	TTHERM_00912240	77175-81941
AAA	TTHERM_00423380	63020-67237
AAA	TTHERM_00138260	243338-248669
AAA	TTHERM_00951710	33908-39184
AAA	TTHERM_00209390	701160-707055
AAA	TTHERM_00346700	578593-587797
AAA	TTHERM_00423390	75226-79414
AAA	TTHERM_00344080	296673-301284
AAA	TTHERM_00016460	1848643-1850077
AAA	TTHERM_00554270	277378-280794
AAA	TTHERM_00951730	44830-49834
AAA	TTHERM_00661580	182420-186803
AAA	TTHERM_01031060	13729-16922
AAA	TTHERM_00095370	10579-13913
AAA	TTHERM_00898300	72742-78067
AAA	TTHERM_00160950	312379-316511
AAA	TTHERM_01046810	15800-19499
AAA	TTHERM_00593010	107771-111463
AAA	TTHERM_00551040	148615-165596
AAA	TTHERM_00113080	783642-784800
AAA	TTHERM_00912230	71456-72770
AAA	TTHERM_00415580	406285-407245
AAA	TTHERM_01227870	55815-60799
AAA	TTHERM_00537460	468194-468782
AAA	TTHERM_00784530	699292-700691
AAA	TTHERM_00318800	687955-688961
AAA	TTHERM_00095380	15758-19087
AAA	TTHERM_000343441	73973-74393
AAA	TTHERM_000717639	503620-504370
AAA	TTHERM_00059450	780683-781850
AAA	TTHERM_00126950	739747-740575
AAA	TTHERM_00550900	104718-106815
AAA	TTHERM_00343490	85614-87036
AAA	TTHERM_00125090	1069039-1073780
AAA	TTHERM_00589930	181324-181873
AAA	TTHERM_00951800	75087-80539
AAA	TTHERM_00964340	62781-67843
AAA	TTHERM_00732610	141927-146873
AAA	TTHERM_00592980	95386-95710
AAA	TTHERM_00142240	209002-210517
AAA	TTHERM_00146330	1010080-1013749
AAA	TTHERM_00194150	363736-365201
AAA	TTHERM_00463500	382458-386424
AAA	TTHERM_00190680	519885-521542
AAA	TTHERM_01009850	40812-44516
AAA	TTHERM_00550890	100794-103229
AAA	TTHERM_00912260	90002-95280
AAA	TTHERM_00069430	310036-311878
AAA	TTHERM_00630580	95870-102055
AAA	TTHERM_00794030	45143-47905
AAA	TTHERM_00593020	115389-119248
AAA	TTHERM_00346400	457167-461709
AAA	TTHERM_00522650	329286-331380
AAA	TTHERM_00912270	96022-100843
AAA	TTHERM_00227350	490040-497288
AAA	TTHERM_00107200	1183626-1184918
AAA	TTHERM_00706360	115410-120359
AAA	TTHERM_00624760	402165-406581
AAA	TTHERM_00630560	110484-115338
AAA	TTHERM_00224600	188995-189529
AAA	TTHERM_00951770	66510-71439
AAA	TTHERM_00136010	719292-720105
AAA	TTHERM_00001300	118212-118878
AAA	TTHERM_00476900	171542-172839
AAA	TTHERM_00189400	426340-429396
AAA	TTHERM_00194500	491036-492571
AAA	TTHERM_00476990	198874-204617
AAA	TTHERM_00146350	1017451-1022989
AAA	TTHERM_00264950	764675-765590
AAA	TTHERM_00355240	1513956-1515451
AAA	TTHERM_00618840	64767-67142
AAA	TTHERM_00295100	447865-450981
AAA	TTHERM_00011340	1000999-1008238
AAA	TTHERM_00118680	1040908-1042293
AAA	TTHERM_00266580	160534-163185
AAA	TTHERM_01046820	21183-24843
AAA	TTHERM_00227430	518848-526057
AAA	TTHERM_00219530	635193-640455
AAA	TTHERM_00538810	136512-137979
AAA	TTHERM_00079410	968734-971383
AAA_22	TTHERM_00070740	175705-176539
AAA_22	TTHERM_00558300	255091-257170
AAA_22	TTHERM_00046300	223035-223722
AAA_22	TTHERM_00441870	67347-69460
AAA_22	TTHERM_00486590	317395-319182
AAA_22	TTHERM_00320020	57856-68214
AAA_22	TTHERM_01151450	21432-25643
AAA_22	TTHERM_00499290	10550-14860
AAA_22	TTHERM_00355100	1424753-1440550
AAA_22	TTHERM_00865060	110746-111533
AAA_22	TTHERM_00825520	167783-169847
AAA_22	TTHERM_00670290	80189-81174
AAA_22	TTHERM_00502619	481134-485441
AAA_22	TTHERM_00039190	1939596-1942221
AAA_22	TTHERM_00318800	687955-688961
AAA_22	TTHERM_00423380	63020-67237
AAA_22	TTHERM_001151439	14533-14988
AAA_22	TTHERM_00365340	461642-465303
AAA_22	TTHERM_00685900	192965-197174
AAA_22	TTHERM_00684630	98866-110084
AAA_22	TTHERM_00483600	474959-476078
AAA_22	TTHERM_000947429	62466-63054
AAA_22	TTHERM_00691710	234505-238347
AAA_22	TTHERM_00433800	709510-725084
AAA_22	TTHERM_00951730	44830-49834
AAA_22	TTHERM_00423390	75226-79414
AAA_22	TTHERM_00476810	135461-137230
AAA_22	TTHERM_01034400	95042-104759
AAA_22	TTHERM_01027660	68771-69920
AAA_22	TTHERM_00313120	440786-445886
AAA_22	TTHERM_00942770	53059-58390
AAA_22	TTHERM_00344080	296673-301284
AAA_22	TTHERM_00346700	578593-587797
AAA_22	TTHERM_00803570	134569-140909
AAA_22	TTHERM_01227870	55815-60799
AAA_22	TTHERM_00423389	68767-72951
AAA_22	TTHERM_00502630	488331-492583
AAA_22	TTHERM_00046920	494785-496934
AAA_22	TTHERM_001151438	251-14235
AAA_22	TTHERM_00245150	175594-177412
AAA_22	TTHERM_00420330	225790-228453
AAA_22	TTHERM_01044780	122909-125849
AAA_22	TTHERM_01046820	21183-24843
AAA_22	TTHERM_00558640	390278-405590
AAA_22	TTHERM_01084310	75852-78321
AAA_22	TTHERM_00219260	540374-542951
AAA_22	TTHERM_01014650	79005-80739
AAA_22	TTHERM_00047540	710149-725963
AAA_22	TTHERM_00551090	175208-177492
AAA_22	TTHERM_01046810	15800-19499
AAA_22	TTHERM_00193520	125153-139437
AAA_22	TTHERM_00964340	62781-67843
AAA_22	TTHERM_00951770	66510-71439
AAA_22	TTHERM_00411590	384378-388161
AAA_22	TTHERM_00160950	312379-316511
AAA_22	TTHERM_00561570	333361-337639
AAA_22	TTHERM_01104890	31710-32349
AAA_22	TTHERM_00239430	387151-388174
AAA_22	TTHERM_00088010	488518-491006
AAA_22	TTHERM_00780750	108107-109321
AAA_22	TTHERM_01045800	8106-9786
AAA_22	TTHERM_00444320	62816-71060
AAA_22	TTHERM_00112510	557902-560587
AAA_22	TTHERM_00688470	67958-82196
AAA_22	TTHERM_00850570	180042-182756
AAA_22	TTHERM_00160720	396365-400343
AAA_22	TTHERM_00213600	806675-808284
AAA_22	TTHERM_00006050	467689-482309
AAA_22	TTHERM_000463439	361698-362694
AAA_22	TTHERM_00864920	162363-163368
AAA_22	TTHERM_00240460	399912-400296
AAA_22	TTHERM_000919539	30344-32310
AAA_22	TTHERM_01031260	42084-42945
AAA_22	TTHERM_00649110	218441-219765
AAA_22	TTHERM_00313110	434946-436072
AAA_22	TTHERM_00283150	396253-398380
AAA_22	TTHERM_00821980	88885-104002
AAA_22	TTHERM_00279670	192248-194009
AAA_22	TTHERM_00584890	150279-159796
AAA_22	TTHERM_01128570	15697-17799
AAA_22	TTHERM_00951710	33908-39184
AAA_22	TTHERM_00441760	30687-33906
AAA_22	TTHERM_00372510	261750-263834
AAA_22	TTHERM_00565600	264511-279760
AAA_22	TTHERM_00594090	145527-150393
AAA_22	TTHERM_00561590	341235-345515
AAA_22	TTHERM_01045780	1960-5668
AAA_22	TTHERM_00344220	358200-362712
AAA_22	TTHERM_00774810	160-8829
AAA_22	TTHERM_000460454	3392-6526
AAA_22	TTHERM_00490560	203155-205141
AAA_22	TTHERM_00083790	994060-998319
AAA_22	TTHERM_00541510	449008-450409
AAA_22	TTHERM_00227350	490040-497288
AAA_22	TTHERM_01083000	72015-73734
AAA_22	TTHERM_00989490	85272-87100
AAA_22	TTHERM_00951800	75087-80539
AAA_22	TTHERM_000227309	481170-482106
AAA_22	TTHERM_00414290	536691-541498
AAA_22	TTHERM_00998950	55219-64203
AAA_22	TTHERM_00327320	311845-317831
AAA_22	TTHERM_00661590	176778-181505
AAA_22	TTHERM_00317190	465789-466017
AAA_22	TTHERM_000006059	482703-496684
AAA_22	TTHERM_00138449	175002-178059
AAA_22	TTHERM_00028810	515533-527106
AAA_22	TTHERM_00683330	305386-306265
AAA_22	TTHERM_00136010	719292-720105
AAA_22	TTHERM_00912290	104763-121769
AAA_22	TTHERM_01194710	26048-30534
AAA_22	TTHERM_00825210	54531-55164
AAA_22	TTHERM_000257098	785656-787174
AAA_22	TTHERM_00227430	518848-526057
AAA_22	TTHERM_00593020	115389-119248
AAA_22	TTHERM_00823440	31188-32893
AAA_22	TTHERM_00298300	46621-54530
AAA_22	TTHERM_00312260	112350-113554
AAA_22	TTHERM_00773420	110162-113167
AAA_22	TTHERM_00471070	235731-236659
AAA_22	TTHERM_00794030	45143-47905
AAA_22	TTHERM_00575460	318877-320156
AAA_22	TTHERM_00241580	429691-431908
AAA_22	TTHERM_00024080	2072050-2077763
AAA_22	TTHERM_01126400	18724-20083
AAA_22	TTHERM_01079260	87932-89660
AAA_22	TTHERM_01014610	67095-68909
AAA_22	TTHERM_00265150	806383-811888
AAA_22	TTHERM_00346400	457167-461709
AAA_22	TTHERM_00355240	1513956-1515451
AAA_22	TTHERM_00036960	1422646-1424804
AAA_22	TTHERM_00864910	164775-166140
AAA_22	TTHERM_00302050	728104-728947
AAA_22	TTHERM_00185200	617637-619960
AAA_22	TTHERM_000343441	73973-74393
AAA_22	TTHERM_000525180	53281-54343
AAA_22	TTHERM_00630560	110484-115338
AAA_22	TTHERM_00068110	444105-446200
AAA_22	TTHERM_01079300	106645-108348
AAA_22	TTHERM_01358410	24520-28950
AAA_22	TTHERM_00227790	699095-700058
AAA_22	TTHERM_00485980	83974-86181
AAA_22	TTHERM_01253430	27029-37957
AAA_22	TTHERM_000989343	23475-25570
AAA_22	TTHERM_00630510	135509-138638
AAA_22	TTHERM_00049310	994930-1002763
AAA_22	TTHERM_00630580	95870-102055
AAA_22	TTHERM_000418279	101162-103322
AAA_22	TTHERM_00992890	92833-95963
AAA_22	TTHERM_00697150	118418-119936
AAA_22	TTHERM_00419730	30230-33026
AAA_22	TTHERM_01608700	66-2804
AAA_22	TTHERM_000541499	453306-454411
AAA_22	TTHERM_00137610	500213-504768
AAA_22	TTHERM_00469090	407017-411142
AAA_22	TTHERM_00196310	800437-800953
AAA_22	TTHERM_00624760	402165-406581
AAA_22	TTHERM_00939100	130210-132201
AAA_22	TTHERM_00188280	315-1073
AAA_22	TTHERM_00219530	635193-640455
AAA_22	TTHERM_00440640	27092-31851
AAA_22	TTHERM_00492830	191374-207860
AAA_22	TTHERM_00888060	23496-26622
AAA_22	TTHERM_00224600	188995-189529
AAA_22	TTHERM_00146330	1010080-1013749
AAA_22	TTHERM_000028809	513479-513791
AAA_22	TTHERM_01197120	59097-61210
AAA_22	TTHERM_000414528	422183-424298
AAA_22	TTHERM_00257010	768328-771788
AAA_22	TTHERM_00522440	246210-251123
AAA_22	TTHERM_00300370	476635-480853
AAA_22	TTHERM_00479080	256803-262653
AAA_22	TTHERM_00414230	568452-570650
AAA_22	TTHERM_00095370	10579-13913
AAA_22	TTHERM_00389960	504564-505656
AAA_22	TTHERM_00339940	546533-551097
AAA_22	TTHERM_000414528	422183-424298
AAA_22	TTHERM_00593010	107771-111463
AAA_22	TTHERM_00190690	522180-524127
AAA_22	TTHERM_01143840	2520-3906
AAA_22	TTHERM_00252420	400249-402822
AAA_22	TTHERM_00470810	130735-132211
AAA_22	TTHERM_00732610	141927-146873
AAA_22	TTHERM_00298420	123761-127004
AAA_22	TTHERM_00227390	504906-509335
AAA_22	TTHERM_01164080	26133-27095
AAA_22	TTHERM_00998800	2523-8326
AAA_22	TTHERM_00322750	352542-354204
AAA_22	TTHERM_00355250	1516729-1517905
AAA_22	TTHERM_00537460	468194-468782
AAA_22	TTHERM_00821910	67799-69307
AAA_22	TTHERM_01027650	65285-66921
AAA_22	TTHERM_00088150	430780-437842
AAA_22	TTHERM_00070900	90604-92981
AAA_22	TTHERM_00439260	154302-160497
AAA_22	TTHERM_00136360	594515-596384
AAA_22	TTHERM_00161200	235828-237134
AAA_22	TTHERM_000347989	605240-606235
AAA_22	TTHERM_00149090	250860-251313
AAA_22	TTHERM_00415580	406285-407245
AAA_22	TTHERM_01009930	74893-76123
AAA_22	TTHERM_00490530	187920-191431
AAA_22	TTHERM_00011340	1000999-1008238
AAA_22	TTHERM_00531870	25162-41543
AAA_22	TTHERM_00448800	100554-103685
AAA_22	TTHERM_00298320	58444-67232
AAA_22	TTHERM_00052050	1285477-1287866
AAA_22	TTHERM_00463500	382458-386424
AAA_22	TTHERM_01128600	32000-33957
AAA_22	TTHERM_00850620	191911-208720
AAA_22	TTHERM_00161860	2116-7503
AAA_22	TTHERM_00241930	554033-557497
AAA_22	TTHERM_00136030	706762-711490
AAA_22	TTHERM_00661580	182420-186803
AAA_22	TTHERM_01154640	32505-39771
AAA_22	TTHERM_00138260	243338-248669
AAA_22	TTHERM_00941530	115026-120964
AAA_22	TTHERM_00628520	128298-133434
AAA_22	TTHERM_00535830	233549-234119
AAA_22	TTHERM_00257030	775253-776096
AAA_22	TTHERM_00661600	168337-175782
AAA_22	TTHERM_00218430	241557-246379
AAA_22	TTHERM_00713360	206899-209341
AAA_22	TTHERM_00762900	34047-37873
AAA_22	TTHERM_00295050	478565-482950
AAA_22	TTHERM_00829440	58623-61964
AAA_22	TTHERM_000862739	176417-180678
AAA_22	TTHERM_00033900	1003124-1005241
AAA_22	TTHERM_00571800	860365-863608
AAA_22	TTHERM_001009941	79755-81006
AAA_22	TTHERM_00898300	72742-78067
AAA_22	TTHERM_00242189	680080-682093
AAA_22	TTHERM_000148715	129093-130350
AAA_22	TTHERM_00313310	532346-533112
AAA_22	TTHERM_00423370	54346-60331
AAA_22	TTHERM_00125090	1069039-1073780
AAA_22	TTHERM_000095401	22648-25784
AAA_22	TTHERM_00551040	148615-165596
AAA_22	TTHERM_00005950	411166-425147
AAA_22	TTHERM_01009930	74893-76123
AAA_22	TTHERM_01009850	40812-44516
AAA_22	TTHERM_00649350	291157-292588
AAA_22	TTHERM_00489530	179616-179977
AAA_22	TTHERM_000032894	999472-1001715
AAA_22	TTHERM_00283830	643966-645576
AAA_22	TTHERM_00529470	658-5238
AAA_22	TTHERM_00037430	1637645-1639733
AAA_22	TTHERM_00050600	1086386-1093454
AAA_22	TTHERM_00353340	76791-84539
AAA_22	TTHERM_00316400	202941-204393
AAA_22	TTHERM_00723010	35049-35768
AAA_22	TTHERM_01041920	66511-67180
AAA_22	TTHERM_00628510	135189-137412
AAA_22	TTHERM_00371290	327367-329652
AAA_22	TTHERM_00600760	360545-363302
AAA_22	TTHERM_00112420	520312-525183
AAA_22	TTHERM_01444900	12023-18609
AAA_22	TTHERM_00781030	8738-9774
AAA_22	TTHERM_01006570	104612-112211
AAA_22	TTHERM_00146350	1017451-1022989
AAA_22	TTHERM_00454080	546178-546571
AAA_22	TTHERM_01250000	1573-2941
AAA_22	TTHERM_00912240	77175-81941
AAA_22	TTHERM_00113080	783642-784800
AAA_22	TTHERM_00571780	865701-871496
AAA_22	TTHERM_00670280	74907-75408
AAA_22	TTHERM_000033909	1012067-1014288
AAA_22	TTHERM_00550900	104718-106815
AAA_22	TTHERM_00316590	277735-281426
AAA_22	TTHERM_001006569	96197-104000
AAA_22	TTHERM_00550890	100794-103229
AAA_22	TTHERM_00290900	647981-649512
AAA_22	TTHERM_001422369	109-2029
AAA_22	TTHERM_01006590	122581-130336
AAA_22	TTHERM_00684490	22899-26183
AAA_22	TTHERM_00295100	447865-450981
AAA_22	TTHERM_00372609	216703-221616
AAA_22	TTHERM_001055589	60807-62994
AAA_22	TTHERM_00036980	1430690-1432383
AAA_22	TTHERM_00850590	184548-187066
AAA_22	TTHERM_00440660	17212-22148
AAA_22	TTHERM_00957580	90124-91008
AAA_22	TTHERM_00095380	15758-19087
AAA_22	TTHERM_01528500	2780-3440
AAA_22	TTHERM_00035390	1184055-1185858
AAA_22	TTHERM_00227170	424693-432025
AAA_22	TTHERM_00365350	466791-469265
AAA_22	TTHERM_01276420	33242-48318
AAA_22	TTHERM_00916430	179723-184695
AAA_22	TTHERM_00123760	1493041-1497148
AAA_22	TTHERM_01262830	24616-28393
AAA_22	TTHERM_00220750	717405-719045
AAA_22	TTHERM_00118680	1040908-1042293
AAA_22	TTHERM_00194150	363736-365201
AAA_22	TTHERM_00320020	57856-68214
AAA_22	TTHERM_00467790	310389-311517
AAA_22	TTHERM_00833720	173677-176173
AAA_22	TTHERM_01109840	28173-34553
AAA_22	TTHERM_00032870	988990-990986
AAA_22	TTHERM_01422380	12025-19228
AAA_22	TTHERM_00600770	364544-370190
AAA_22	TTHERM_00994060	2899-5480
AAA_22	TTHERM_00633600	266547-270758
AAA_22	TTHERM_00574260	391053-392337
AAA_22	TTHERM_00316190	118235-126741
AAA_22	TTHERM_00011470	1056909-1064095
AAA_22	TTHERM_00930820	37534-44158
AAA_22	TTHERM_000741671	60274-61665
AAA_22	TTHERM_00010990	892836-907973
AAA_22	TTHERM_00227420	513304-518464
AAA_22	TTHERM_00034940	1025245-1027409
AAA_22	TTHERM_00409090	173857-175654
AAA_22	TTHERM_00046470	315428-322304
AAA_22	TTHERM_00487170	516524-520263
AAA_22	TTHERM_01351030	6247-13897
AAA_22	TTHERM_00035300	1159995-1161798
AAA_22	TTHERM_01006580	112905-120669
AAA_22	TTHERM_00794230	103229-104582
AAA_22	TTHERM_00035380	1181209-1183006
AAA_22	TTHERM_00354630	1252628-1253979
AAA_22	TTHERM_00592980	95386-95710
AAA_22	TTHERM_00726300	216318-220640
AAA_22	TTHERM_00343490	85614-87036
AAA_22	TTHERM_00006030	448828-463084
AAA_22	TTHERM_00035350	1172329-1174243
AAA_22	TTHERM_000635769	347882-354310
AAA_22	TTHERM_00784530	699292-700691
AAA_22	TTHERM_00059050	901683-908280
AAA_22	TTHERM_000035269	1148790-1149162
AAA_22	TTHERM_00032890	996420-998547
AAA_22	TTHERM_01006600	131827-139081
AAA_22	TTHERM_00035280	1154337-1156095
AAA_22	TTHERM_000294939	523234-524616
AAA_22	TTHERM_00518510	370464-374686
AAA_22	TTHERM_000726079	148071-149751
AAA_22	TTHERM_00035350	1172329-1174243
AAA_22	TTHERM_00535960	278954-281651
AAA_22	TTHERM_00919550	49917-56367
AAA_22	TTHERM_00420410	280390-282641
AAA_22	TTHERM_01001570	149027-149792
AAA_22	TTHERM_00035300	1159995-1161798
AAA_22	TTHERM_00721870	259119-259782
AAA_22	TTHERM_00155550	848335-853351
AAA_22	TTHERM_00193800	242886-250970
AAA_22	TTHERM_00227570	596407-602178
AAA_22	TTHERM_01212890	426436-429309
AAA_22	TTHERM_00006020	433605-447815
AAA_22	TTHERM_00142240	209002-210517
AAA_22	TTHERM_00155570	840437-845699
AAA_22	TTHERM_00295030	489905-490618
AAA_22	TTHERM_00122300	1284142-1285201
AAA_22	TTHERM_01080500	68303-73235
AAA_22	TTHERM_00785870	33340-33808
AAA_22	TTHERM_000717639	503620-504370
AAA_22	TTHERM_001006539	69523-73223
AAA_22	TTHERM_01417320	16266-22203
AAA_22	TTHERM_00101480	494527-495787
AAA_22	TTHERM_00723170	86498-87327
AAA_22	TTHERM_00441810	45255-46479
AAA_22	TTHERM_00074290	72723-79015
AAA_22	TTHERM_00522140	129298-131338
AAA_22	TTHERM_00673500	187561-190931
AAA_22	TTHERM_00600070	148468-150477
AAA_22	TTHERM_00107200	1183626-1184918
AAA_22	TTHERM_00693290	178288-183852
AAA_22	TTHERM_00301870	685431-690969
AAA_22	TTHERM_00266600	173691-181455
AAA_22	TTHERM_00031830	957599-959522
AAA_22	TTHERM_00323080	484740-490215
AAA_22	TTHERM_00301860	676611-682150
AAA_22	TTHERM_00039010	1857599-1859625
AAA_22	TTHERM_00499520	94558-95107
AAA_22	TTHERM_01035740	100955-107868
AAA_22	TTHERM_00680620	18350-24908
AAA_22	TTHERM_01031060	13729-16922
AAA_22	TTHERM_00137540	523838-527783
AAA_22	TTHERM_00316180	105840-109850
AAA_22	TTHERM_00994240	62476-63378
AAA_22	TTHERM_00727520	17690-18260
AAA_22	TTHERM_00684430	5003-7714
AAA_22	TTHERM_00189400	426340-429396
AAA_22	TTHERM_00471490	343878-344643
AAA_22	TTHERM_000498019	435196-437219
AAA_22	TTHERM_00209390	701160-707055
AAA_22	TTHERM_000693287	157737-163336
AAA_22	TTHERM_00624580	357698-357929
AAA_22	TTHERM_00392680	436255-445317
AAA_22	TTHERM_000670103	15592-16297
AAA_22	TTHERM_00034920	1019042-1021205
AAA_22	TTHERM_00113080	783642-784800
AAA_22	TTHERM_00703910	243661-246240
AAA_22	TTHERM_00122150	1236257-1237854
AAA_22	TTHERM_00586740	64473-65921
AAA_22	TTHERM_00245770	450449-457606
AAA_22	TTHERM_00693280	184904-190537
AAA_22	TTHERM_00681890	138141-141311
AAA_22	TTHERM_00648539	227-1076
AAA_22	TTHERM_00585260	293931-296957
AAA_22	TTHERM_00035330	1168343-1170125
AAA_22	TTHERM_00120930	1130952-1133806
AAA_22	TTHERM_01129680	52970-54451
AAA_22	TTHERM_00371140	380152-387910
AAA_22	TTHERM_00681760	94605-95760
AAA_22	TTHERM_00031800	944907-947022
AAA_22	TTHERM_00227210	445121-446033
AAA_22	TTHERM_00031820	952667-954607
AAA_22	TTHERM_00001080	29398-30381
AAA_22	TTHERM_00919550	49917-56367
AAA_22	TTHERM_00706360	115410-120359
AAA_22	TTHERM_00095530	70096-72082
AAA_22	TTHERM_00476900	171542-172839
AAA_22	TTHERM_00502470	418002-420995
AAA_22	TTHERM_00034910	1016092-1018203
AAA_22	TTHERM_00006230	558451-559449
AAA_22	TTHERM_00586820	98455-102394
AAA_22	TTHERM_00463150	252865-255334
AAA_22	TTHERM_00112490	543372-547599
AAA_22	TTHERM_00674500	193762-197191
AAA_22	TTHERM_00295370	329405-335062
AAA_22	TTHERM_000243674	10207-14383
AAA_22	TTHERM_00079430	977301-979605
AAA_22	TTHERM_00257100	790418-792320
AAA_22	TTHERM_000298261	22659-25187
AAA_22	TTHERM_00684630	98866-110084
AAA_22	TTHERM_00129450	251401-253216
AAA_22	TTHERM_00558220	222436-229347
AAA_22	TTHERM_00583460	379159-389398
AAA_22	TTHERM_00429870	1044728-1048297
AAA_22	TTHERM_00446400	479147-484618
AAA_22	TTHERM_00115410	904548-906863
AAA_22	TTHERM_00827190	178832-183041
AAA_22	TTHERM_00079410	968734-971383
AAA_22	TTHERM_00502590	464676-467497
AAA_22	TTHERM_000376210	9858-10544
AAA_22	TTHERM_000218898	412253-414437
AAA_22	TTHERM_00388350	254192-260425
AAA_22	TTHERM_00248500	821335-823558
AAA_22	TTHERM_00784620	670017-672627
AAA_22	TTHERM_00266410	90468-91960
Abhydrolase_5	TTHERM_00933220	127041-127917
Abhydrolase_5	TTHERM_00141060	123505-125207
Abhydrolase_5	TTHERM_01083050	91948-92650
Abhydrolase_5	TTHERM_00433870	685778-686843
Abhydrolase_5	TTHERM_00189330	395205-397037
Abhydrolase_5	TTHERM_01068170	66864-68411
Abhydrolase_5	TTHERM_00030370	761443-763129
Abhydrolase_5	TTHERM_00313040	411991-413512
Abhydrolase_5	TTHERM_00089170	422704-423628
Abhydrolase_5	TTHERM_00616650	360222-360984
Abhydrolase_5	TTHERM_00390100	557924-559427
Abhydrolase_5	TTHERM_00418380	76124-78008
Abhydrolase_5	TTHERM_00865230	57825-60506
Abhydrolase_5	TTHERM_00823600	61453-62161
Abhydrolase_5	TTHERM_000794419	159823-161866
Abhydrolase_5	TTHERM_00624210	244056-246606
Abhydrolase_5	TTHERM_00683240	271957-273058
Abhydrolase_5	TTHERM_00433880	680667-681738
Abhydrolase_5	TTHERM_000444539	153618-155361
Abhydrolase_5	TTHERM_00059529	715393-716524
Abhydrolase_5	TTHERM_00727550	26941-27897
Abhydrolase_5	TTHERM_00825700	222046-222976
Abhydrolase_5	TTHERM_000865159	75502-76360
Abhydrolase_5	TTHERM_00352190	144533-145388
Abhydrolase_5	TTHERM_00189450	439503-441157
Abhydrolase_5	TTHERM_00691620	204173-204929
Abhydrolase_5	TTHERM_00578450	18872-19869
Abhydrolase_5	TTHERM_00418570	34041-35009
Abhydrolase_5	TTHERM_00685870	186034-187018
Abhydrolase_5	TTHERM_00326820	81294-82541
Abhydrolase_5	TTHERM_00105570	947140-949175
Abhydrolase_5	TTHERM_00434190	594339-595534
Acetyltransf_1	TTHERM_00304180	25036-25964
Acetyltransf_1	TTHERM_00624180	232399-234026
Acetyltransf_1	TTHERM_00686140	297623-298370
Acetyltransf_1	TTHERM_00670400	110125-110836
Acetyltransf_1	TTHERM_000242129	641902-642520
Acetyltransf_1	TTHERM_01048080	112449-120171
Acetyltransf_1	TTHERM_00637650	290653-293019
Acetyltransf_1	TTHERM_000245699	421704-422578
Acetyltransf_1	TTHERM_00994150	31790-35253
Acetyltransf_1	TTHERM_00391310	569802-570405
Acetyltransf_1	TTHERM_00717550	466914-467703
Acetyltransf_1	TTHERM_00535820	232063-232934
Acetyltransf_1	TTHERM_00248390	785955-788000
Acetyltransf_1	TTHERM_00058490	1117026-1117620
Acetyltransf_1	TTHERM_00455130	9776-10568
Acetyltransf_1	TTHERM_01227770	31781-32974
Acetyltransf_1	TTHERM_00624260	260470-263692
